Scenario,Model,R2,RMSE_kms,MAE_kms,MAPE_percent,CV_RMSE_mean,CV_RMSE_std
S1_intersection,pnn,0.818494722875909,0.193990219842554,0.112334981367365,8.70328646197935,0.214058541444953,0.0133631431161829
S1_intersection,mlffnn,0.808517020471614,0.199250901653744,0.117547041366219,9.06328132871596,0.216022070105138,0.010992557537347
S1_intersection,dffnn,0.8197602050881,0.193312772401199,0.114967150448078,8.66518838458523,0.211510280969387,0.0136693262016038
S1_intersection,cnn1d,0.774245554985584,0.216348237795468,0.138101127728852,10.2954062609954,0.231605947718148,0.00911972590586641
S2_all,pnn,0.848082902230507,0.177475551563687,0.103240051326709,7.79024675258736,0.196225980378225,0.0172654753616271
S2_all,mlffnn,0.826154735253826,0.189852639694435,0.119566042712378,8.90732478120596,0.21086889020856,0.0124283585138422
S2_all,dffnn,0.830685897910704,0.187362111867939,0.110244638282558,8.32616671598831,0.204830193878201,0.0145939739793166
S2_all,cnn1d,0.791218628898001,0.208056400047627,0.129592208510453,9.86083799746658,0.227812034694973,0.00937255358887652
S3_mrmr_only,pnn,0.818494722875909,0.193990219842554,0.112334981367365,8.70328646197935,0.214058541444953,0.0133631431161829
S3_mrmr_only,mlffnn,0.808517020471614,0.199250901653744,0.117547041366219,9.06328132871596,0.216022070105138,0.010992557537347
S3_mrmr_only,dffnn,0.8197602050881,0.193312772401199,0.114967150448078,8.66518838458523,0.211510280969387,0.0136693262016038
S3_mrmr_only,cnn1d,0.773449040038751,0.21672956555228,0.138682662583626,10.3183506423233,0.233494846785173,0.0113034880463719
S4_lasso_only,pnn,0.837391417947956,0.183614484809271,0.108505197610507,8.31783009233118,0.205446861482846,0.0166691397834999
S4_lasso_only,mlffnn,0.820885119870521,0.192708575191297,0.114772194725082,8.83294649371173,0.213367771168799,0.012974566900132
S4_lasso_only,dffnn,0.82870546375789,0.18845469533036,0.111138657744086,8.55763668135212,0.208839215865855,0.0169390196403974
S4_lasso_only,cnn1d,0.779004934057292,0.214055551556035,0.136442889057644,10.0363288756088,0.231331886911511,0.010388221873512
