rank,kind,category,R2,RMSE_kms,MAE_kms,MAPE_percent,cv_rmse_std,note,seed
1,hybrid_icnn,meta_learner,0.800351709968014,0.203336145829065,0.111409464346887,9.10064942246815,0.412380876563755,★ DEPLOYED,123
2,pnn,base_learner,0.785624801106607,0.210702195098537,0.113928499168523,9.50065642291088,0.0203246485902614,,123
3,icnn,meta_learner,0.784857165530976,0.211079099629152,0.117454269680204,9.80476790657473,0.412380876563755,,123
4,ridge,meta_learner,0.784782386545704,0.211115779701698,0.111975715678903,9.35829330924187,0.412380876563755,,123
5,mlffnn,base_learner,0.757559299124406,0.224070434022244,0.126854622846878,10.5383459324135,0.0219373937561508,,123
6,dffnn,base_learner,0.753949820306086,0.225732261836197,0.122283932198532,10.14266191546,0.0206437153400072,,123
7,cnn1d,base_learner,0.717253086725718,0.24198069859288,0.141546020445491,11.785190778045,0.0143183959184793,,123
8,Greenberg-Castagna limestone,empirical_baseline,0.533937489634064,0.310673260258578,0.199955007414747,17.5766236999848,NaN,,123
9,Greenberg-Castagna shale,empirical_baseline,0.502106679700441,0.321107123309356,0.198638992791875,16.3747954837917,NaN,,123
10,Castagna mudrock,empirical_baseline,0.190138259079734,0.409531423849201,0.306615563218879,23.5582083659963,NaN,,123
11,Greenberg-Castagna sand,empirical_baseline,0.100124944974893,0.431690902637778,0.336574975299864,25.7047429762564,NaN,,123
